,0,1,2,3
0,510815.0135046704,549443.5539355595,520456.08385938656,522826.10512114695
1,285745.0966803011,406002.89562645915,405484.26918651175,404805.4164027871
2,-17094.203259359947,-120462.48692528944,-117991.97550332327,-115504.41920308942
3,-1060.167695616988,-789085.1386562136,-1917.9186148514655,-4968.732545134576
4,0.0,774237.0035456425,1644557.8016779362,1221.4897204502256
5,0.0,497.323019025076,-4288442.366863474,762788.6408388575
6,0.0,-2154.957678824139,2686156.646392021,-1531926.4969055043
7,0.0,0.0,99.46090518084515,-274076.3799956343
8,0.0,0.0,-2181.417236052394,1084307.1670277019
9,0.0,0.0,212.1081107777719,374.672923749288
10,0.0,0.0,0.0,-3315.432802707792
11,0.0,0.0,0.0,1708.1541688220082
12,0.0,0.0,0.0,-670.26802245783
